subject,subjectMap,immuneexposure,immuneexposureMap,intervention,InterventionMap,biosample,biosampleMap,experimentelisa,ExperimentelisaMap,assessment,assessmentMap
Column Name,,Column Name,,Column Name,,User Defined ID,biospecimen_data_1.0.0/Serum|PBMC:Biospecimen_ID,Column Name,,Column Name,
Subject ID,demographics_1.0.0/Demographic_Data: # Research_Participant_ID,Subject ID,# Research_Participant_ID,User Defined ID,,Type,biospecimen_data_1.0.0/Serum|PBMC:Measurand_Antibody_Type,Expsample ID,,Subject ID,
Arm Or Cohort ID,,Arm Or Cohort ID,,Subject ID,# Research_Participant_ID,Subtype,Assay_Target_Sub_Region,Biosample ID,,Assessment Panel ID,
Gender,demographics_1.0.0/Demographic_Data: Gender,Exposure Process Reported,,Study ID,,Name,,Experiment ID,,Study ID,
Min Subject Age,demographics_1.0.0/Demographic_Data: Age,Exposure Material Reported,,Name Reported,,Description,,Reagent ID(s),,Name Reported,
Max Subject Age,,Exposure Material ID,,Compound Name Reported,,Subject ID,,Treatment ID(s),,Assessment Type,
Age Unit,HARD-Years,Disease Reported,,Compound Role,,Study ID,,Expsample Name,,Status,
Age Event,HARD-Age at enrollment,Disease Ontology ID,,Dose Reported,,Planned Visit ID,,Expsample Description,,CRF File Names,
Age Event Specify,,Disease Stage Reported,,Start Day,,Treatment ID(s),,Additional Result File Names,,Result Separator Column,
Subject Phenotype,,,,End Day,,Study Time Collected,Biospecimen_Collection_Year,Study ID,,User Defined ID,
Subject Location,demographics_1.0.0/Demographic_Data: CBC,,,Status,,Study Time Collected Unit,,Protocol ID(s),,Planned Visit ID,
Ethnicity,demographics_1.0.0/Demographic_Data: Ethnicity,,,Reported Indication,,Study Time T0 Event,,Subject ID,,Name Reported,
Race,demographics_1.0.0/Demographic_Data: Race,,,Formulation,,Study Time T0 Event Specify,,Planned Visit ID,,Study Day,
Race Specify,,,,Dose,,,,Type,,Age At Onset Reported,
Description,,,,Dose Units,,,,Subtype,,Age At Onset Unit Reported,
Result Separator Column,,,,Dose Freq Per Interval,,,,Biosample Name,,Is Clinically Significant,
Exposure Process Reported,,,,Route Of Admin Reported,,,,Biosample Description,,Location Of Finding Reported,
Exposure Material Reported,,,,Is Ongoing,,,,Study Time Collected,,Organ Or Body System Reported,
Exposure Material ID,,,,Start Time,,,,Study Time Collected Unit,,Result Value Reported,
Disease Reported,comorbidity_or_infections_1.0.0/ Infection_Data: Infectious_Agent>Seasonal_Coronavirus ^ Current_Infection>Yes,,,End Time,,,,Study Time T0 Event,,Result Unit Reported,
Disease Ontology ID,,,,Duration,,,,Study Time T0 Event Specify,,Result Value Category,
Disease Stage Reported,,,,Duration Unit,,,,Experiment Name,,Subject Position Reported,
,,,,,,,,Experiment Description,,Time Of Day,
,,,,,,,,Measurement Technique,,Verbatim Question,
,,,,,,,,Result Separator Column,,Who Is Assessed,
,,,,,,,,Analyte Reported,Assay_Result_Type,,
,,,,,,,,Value Reported,,,
,,,,,,,Infectious_Agent,Unit Reported,Assay_Result_Unit,,
,,,,,,,,Comments,,,
